time,pr
1979,348.2650140300393
1980,805.7353600859642
1981,610.1934615522623
1982,1098.7911810167134
1983,763.4433117695153
1984,1288.0520949605852
1985,948.6146268434823
1986,476.08463102951646
1987,472.0207637641579
1988,842.4297345802229
1989,462.28622468188405
1990,639.6200747229159
1991,391.76909937523305
1992,1232.1272486820817
1993,692.8600733634084
1994,745.5268051475286
1995,673.3355325646698
1996,1035.551504418254
1997,548.2781654689461
1998,573.5447893850505
1999,892.0466865878552
2000,663.2459096610546
2001,559.7561207134277
2002,783.1842213403434
2003,595.4852193128318
2004,528.6071722861379
2005,778.600354632371
2006,578.9846487343311
2007,404.34354837052524
2008,668.2807973586023
